"Greenspace NDVI","Pet ownership","Pet ownership Cat","Per ownership Dog","NO2 Concentration","PM2.5 Concentration","Smoking Passive","Smoking Active","Smoker Active, 1 Year+","Smoker, Stopped","Urbanicity","General Health"
"","","","","","-","","","","","",""
"","","","","","","","-","-","","",""
"","","","","","","","+","","","","-"
"-","","","","","","","+","","","","-"
"","","","","-","","","","","","","+"
"+","","","+","-","-","","","","","",""
"+","","","","","-","","","","","","+"
"-","","","","+","+","","","","","-","-"
"+","+","+","+","","-","","","","","",""
"","","","","+","","","","","","-",""
"+","","","","-","","","","","","",""
"","","","","","","","-","","","","+"
"","+","","+","","","","","","","",""
"","+","+","+","","","","","","","","+"
"","-","","-","","","","-","","","",""
"","-","","-","","","","","","","",""
"","","","","","","","-","","","","+"
"","","","","","","","-","-","","",""
"","","","","","","","-","","","","-"
"-","","","","","","","+","+","","","-"
"-","","","","","","+","+","+","","","-"
"","","","","","","+","+","+","","","-"
"","","","","","","-","-","","","","+"
"","-","","-","","","","","","","",""
"","","","","","","","+","+","","","-"
"","","","","","","","+","","","","-"
"","","","","","","","-","","","","+"
"","","","","","","","-","-","","",""
"","-","","-","","","","","","","",""
"","-","","","","","-","-","-","","","+"
"","","","","","","","+","+","","",""
"","","","","","-","","","","","+",""
"","","","","","","+","+","+","","","-"
"-","","","","","","","+","+","","","-"
"","","","","","","","+","+","","","-"
"","","","","","","-","-","-","","","+"
"","+","","","","","+","+","+","","","-"
"","","","-","","","-","-","-","","","+"
"","","","","","","+","+","","","","-"
"+","","","","-","","","","","","+",""
"+","+","+","+","-","","","","","","+",""
"+","+","+","","-","","","","-","","+",""
"","","","","","","","-","","","","-"
"","","","","","","-","-","-","","",""
"","","","","+","+","","","","","-",""
"","","","","","","-","-","-","","","+"
"-","-","","-","+","","","","","","-",""
"+","+","","+","-","-","","","","","","+"
"","","","","","","-","-","-","","",""
"","","","","","","","-","","","","+"
